id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
000121bd-365a-40f8-ad7a-61d6396086ad,scoopout.moe,available,17.88,,48,1,9,namecheap,,
000275df-3674-4324-bc4a-166caf52b979,snowballs.moe,available,13.99,13.99,59,7,9,namesilo,,
00263f39-129e-4c6e-97ee-21fe0797d88b,getthroughto.moe,available,17.88,,49,1,14,namecheap,,
00620e83-2bd8-41d2-96f9-35ba472ba64a,knees.moe,available,17.88,,50,5,5,namecheap,,
009709e7-b262-4ab1-814a-a6b1d2604426,justthejob.moe,available,17.88,,56,3,12,namecheap,,
00cf0ce6-844d-411b-a9ee-563726bd7aa4,electricalpolarity.moe,available,17.88,,59,0,19,namecheap,,
0135de74-fd16-4b1c-b9d8-20c025c27f29,BonfireNight.moe,available,17.88,,64,1,13,namecheap,,
013781f6-8211-4611-b6bb-3f5f406a7bed,gothewholehog.moe,available,17.88,,62,1,16,namecheap,,
0140c2aa-9e87-40bf-abee-a5a03d01512d,boilingpoint.moe,available,17.88,,60,3,13,namecheap,,
0153778e-c629-4111-adba-a0aece8a7236,compilers.moe,available,17.88,,56,4,9,namecheap,,
0174c0d1-f288-4562-af0f-a9fc381dbbcd,deadonarrival.moe,available,17.88,,46,2,15,namecheap,,
019a167d-e08d-4ef7-84ad-92a98940ee9a,macaronicheese.moe,available,17.88,,72,1,15,namecheap,,
01ebc4fd-7876-47ad-96a2-174fb098b215,masterofceremonies.moe,available,17.88,,60,2,20,namecheap,,
020a682b-aa8f-4ed0-95f4-204d552b3ff6,scoopin.moe,available,17.88,,68,1,8,namecheap,,
021ca371-a0cc-46bc-8d95-d58aecd95769,rollwithit.moe,available,17.88,,56,5,12,namecheap,,
021f911c-f854-45f7-9e04-6722da49a7e9,giveatry.moe,available,17.88,,56,2,10,namecheap,,
023738c4-5643-4fba-a5d3-9e14460add94,havetherunof.moe,available,17.88,,60,1,15,namecheap,,
02393c18-077f-49a0-8e3e-ad995993cf35,likeso.moe,available,17.88,,52,1,7,namecheap,,
023dae32-a403-407e-a939-14932ea1d4f8,Keith.moe,premium,,,66,25,5,,,
025f68e0-4a13-400a-bd2e-328041d2b5fb,bloodpressuregage.moe,available,17.88,,48,1,19,namecheap,,
02c1ceee-49c2-4bd1-9bfe-ce655beb26f0,failed.moe,available,17.88,,60,11,6,namecheap,,
02df1038-71bb-4f20-b781-10f0a65ffe92,AcademyAwards.moe,available,17.88,,68,3,14,namecheap,,
02dfafb3-d38f-4ffa-86ce-9c935f53706f,joggingsuit.moe,available,17.88,,61,1,12,namecheap,,
02f74980-5688-46f3-a229-3cd766d59e96,thethingis.moe,available,17.88,,48,2,12,namecheap,,
02fa175e-6765-4c12-b4ba-59e1e3bdc1c1,berries.moe,available,17.88,,60,13,7,namecheap,,
02fa3dd0-d24e-4be9-a3e3-cd2ba0ba4b32,keepitdown.moe,available,17.88,,46,0,12,namecheap,,
